genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_PANS_2_8	JABDZA010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_4_2	JABDZD010000005.1.region001.gbk	12	12	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_PANS_4_2	JABDZD010000007.1.region001.gbk	25	25	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99-3	NMZR01000002.1.region001.gbk	28	30	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_11	JABDZE010000001.1.region001.gbk	27	27	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_PANS_99_11	JABDZE010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_25	JABDZH010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_29	JABDZK010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001.gbk	10	10	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001.gbk	28	28	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_PANS_99_32	JABDZM010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_99_33	JABDZN010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
