task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
26	a8/efb742	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:28.289	2026-09-22 16:38:28.377	2026-09-22 16:38:36.549	4.6s	1	2 GB	14.6 MB	18.6 MB	82.0%	0.0%	621.8 MB	620.7 MB
31	7f/5040f8	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:27.924	2026-09-22 16:38:27.966	2026-09-22 16:38:39.104	7.4s	1	2 GB	14.9 MB	18.6 MB	80.3%	0.0%	1001.1 MB	1000 MB
35	ea/2cc23c	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:28.331	2026-09-22 16:38:28.379	2026-09-22 16:38:39.927	7.9s	1	2 GB	14.8 MB	18.6 MB	84.7%	0.0%	1014.7 MB	1013.6 MB
27	cf/2c2151	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:27.698	2026-09-22 16:38:27.731	2026-09-22 16:38:41.380	9.7s	1	2 GB	15 MB	18.6 MB	70.4%	0.0%	1.1 GB	1.1 GB
30	8a/395f6b	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:28.621	2026-09-22 16:38:28.717	2026-09-22 16:38:42.692	10.1s	1	2 GB	15 MB	18.6 MB	80.8%	0.0%	1.1 GB	1.1 GB
29	64/cfdac2	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:29.718	2026-09-22 16:38:29.798	2026-09-22 16:38:42.723	9.4s	1	2 GB	15 MB	18.6 MB	82.5%	0.0%	1 GB	1 GB
32	a3/417571	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:27.981	2026-09-22 16:38:28.057	2026-09-22 16:38:43.145	11.3s	1	2 GB	14.8 MB	18.6 MB	94.1%	0.0%	1015.2 MB	1014.1 MB
34	7b/a5b8fd	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:28.917	2026-09-22 16:38:28.989	2026-09-22 16:38:43.364	10.7s	1	2 GB	15 MB	18.6 MB	81.3%	0.0%	1.1 GB	1.1 GB
28	11/19fcc3	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:30.441	2026-09-22 16:38:30.518	2026-09-22 16:38:44.418	10.3s	1	2 GB	14.6 MB	18.6 MB	90.4%	0.0%	899.5 MB	898.4 MB
33	c1/2208c5	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:30.979	2026-09-22 16:38:31.063	2026-09-22 16:38:49.413	15.1s	1	2 GB	15 MB	18.6 MB	96.5%	0.0%	1.1 GB	1.1 GB
42	0e/330cf8	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:38:50.340	2026-09-22 16:38:50.394	2026-09-22 16:40:51.441	1m 59s	4	8 GB	1.5 GB	5.2 GB	207.8%	2.6%	2.3 GB	412.4 MB
48	0f/9a2742	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:38:50.303	2026-09-22 16:38:50.392	2026-09-22 16:40:57.354	2m 5s	4	8 GB	1.6 GB	6.1 GB	223.9%	2.7%	2.4 GB	471.9 MB
41	a8/6912f9	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:38:50.377	2026-09-22 16:38:50.395	2026-09-22 16:41:03.477	2m 11s	4	8 GB	1.2 GB	5.1 GB	174.1%	1.8%	2.5 GB	369.8 MB
46	ee/6c9866	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:38:50.269	2026-09-22 16:38:50.291	2026-09-22 16:41:15.198	2m 23s	4	8 GB	3.3 GB	9.1 GB	276.5%	5.8%	2.2 GB	684.9 MB
38	03/fcdf98	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:40:57.393	2026-09-22 16:40:57.454	2026-09-22 16:41:17.831	18.2s	4	8 GB	211.1 MB	2.9 GB	147.1%	0.4%	391.5 MB	51.4 MB
50	14/4d32cd	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-22 16:40:51.504	2026-09-22 16:40:51.541	2026-09-22 16:42:38.650	1m 44s	4	8 GB	1.6 GB	5 GB	199.3%	2.1%	2.3 GB	412 MB
